/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(250.4892, device='cuda:0', grad_fn=<MeanBackward1>) 15800
tensor(368.3829, device='cuda:0', grad_fn=<MeanBackward1>) 15900
tensor(320.7020, device='cuda:0', grad_fn=<MeanBackward1>) 16000
tensor(2992.3257, device='cuda:0', grad_fn=<MeanBackward1>) 16100
tensor(307.4909, device='cuda:0', grad_fn=<MeanBackward1>) 16200
tensor(1082.7485, device='cuda:0', grad_fn=<MeanBackward1>) 16300
tensor(506.2642, device='cuda:0', grad_fn=<MeanBackward1>) 16400
tensor(567.6222, device='cuda:0', grad_fn=<MeanBackward1>) 16500
tensor(367.3189, device='cuda:0', grad_fn=<MeanBackward1>) 16600
tensor(626.6743, device='cuda:0', grad_fn=<MeanBackward1>) 16700
tensor(584.4268, device='cuda:0', grad_fn=<MeanBackward1>) 16800
tensor(1283.9700, device='cuda:0', grad_fn=<MeanBackward1>) 16900
tensor(710.3754, device='cuda:0', grad_fn=<MeanBackward1>) 17000
tensor(336.2970, device='cuda:0', grad_fn=<MeanBackward1>) 17100
tensor(271.3192, device='cuda:0', grad_fn=<MeanBackward1>) 17200
tensor(341.1784, device='cuda:0', grad_fn=<MeanBackward1>) 17300
tensor(335.2675, device='cuda:0', grad_fn=<MeanBackward1>) 17400
tensor(295.1860, device='cuda:0', grad_fn=<MeanBackward1>) 17500
tensor(595.5857, device='cuda:0', grad_fn=<MeanBackward1>) 17600
tensor(577.9910, device='cuda:0', grad_fn=<MeanBackward1>) 17700
tensor(303.7586, device='cuda:0', grad_fn=<MeanBackward1>) 17800
tensor(552.5114, device='cuda:0', grad_fn=<MeanBackward1>) 17900
tensor(186.5323, device='cuda:0', grad_fn=<MeanBackward1>) 18000
tensor(208.1578, device='cuda:0', grad_fn=<MeanBackward1>) 18100
tensor(531.9012, device='cuda:0', grad_fn=<MeanBackward1>) 18200
tensor(172.4136, device='cuda:0', grad_fn=<MeanBackward1>) 18300
tensor(1430.5929, device='cuda:0', grad_fn=<MeanBackward1>) 18400
tensor(472.1730, device='cuda:0', grad_fn=<MeanBackward1>) 18500
