/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(606.9064, device='cuda:0', grad_fn=<MeanBackward1>) 22100
tensor(626.5044, device='cuda:0', grad_fn=<MeanBackward1>) 22200
tensor(316.6779, device='cuda:0', grad_fn=<MeanBackward1>) 22300
tensor(638.5541, device='cuda:0', grad_fn=<MeanBackward1>) 22400
tensor(828.3566, device='cuda:0', grad_fn=<MeanBackward1>) 22500
tensor(274.3190, device='cuda:0', grad_fn=<MeanBackward1>) 22600
tensor(1370.5981, device='cuda:0', grad_fn=<MeanBackward1>) 22700
tensor(672.2714, device='cuda:0', grad_fn=<MeanBackward1>) 22800
tensor(632.9954, device='cuda:0', grad_fn=<MeanBackward1>) 22900
tensor(375.9639, device='cuda:0', grad_fn=<MeanBackward1>) 23000
tensor(605.1697, device='cuda:0', grad_fn=<MeanBackward1>) 23100
tensor(567.7200, device='cuda:0', grad_fn=<MeanBackward1>) 23200
tensor(469.9671, device='cuda:0', grad_fn=<MeanBackward1>) 23300
tensor(337.6077, device='cuda:0', grad_fn=<MeanBackward1>) 23400
tensor(408.3801, device='cuda:0', grad_fn=<MeanBackward1>) 23500
tensor(350.4353, device='cuda:0', grad_fn=<MeanBackward1>) 23600
tensor(491.5684, device='cuda:0', grad_fn=<MeanBackward1>) 23700
tensor(1064.2112, device='cuda:0', grad_fn=<MeanBackward1>) 23800
tensor(1117.7461, device='cuda:0', grad_fn=<MeanBackward1>) 23900
tensor(604.3254, device='cuda:0', grad_fn=<MeanBackward1>) 24000
tensor(960.8275, device='cuda:0', grad_fn=<MeanBackward1>) 24100
tensor(506.5659, device='cuda:0', grad_fn=<MeanBackward1>) 24200
tensor(395.4478, device='cuda:0', grad_fn=<MeanBackward1>) 24300
tensor(618.4983, device='cuda:0', grad_fn=<MeanBackward1>) 24400
tensor(754.0535, device='cuda:0', grad_fn=<MeanBackward1>) 24500
tensor(427.6944, device='cuda:0', grad_fn=<MeanBackward1>) 24600
tensor(465.4843, device='cuda:0', grad_fn=<MeanBackward1>) 24700
tensor(928.6341, device='cuda:0', grad_fn=<MeanBackward1>) 24800
tensor(276.3586, device='cuda:0', grad_fn=<MeanBackward1>) 24900
tensor(762.4208, device='cuda:0', grad_fn=<MeanBackward1>) 25000
tensor(402.7781, device='cuda:0', grad_fn=<MeanBackward1>) 25100
tensor(734.8949, device='cuda:0', grad_fn=<MeanBackward1>) 25200
tensor(508.0688, device='cuda:0', grad_fn=<MeanBackward1>) 25300
tensor(447.3463, device='cuda:0', grad_fn=<MeanBackward1>) 25400
tensor(477.7975, device='cuda:0', grad_fn=<MeanBackward1>) 25500
tensor(356.3137, device='cuda:0', grad_fn=<MeanBackward1>) 25600
tensor(717.2769, device='cuda:0', grad_fn=<MeanBackward1>) 25700
tensor(315.1542, device='cuda:0', grad_fn=<MeanBackward1>) 25800
tensor(302.1828, device='cuda:0', grad_fn=<MeanBackward1>) 25900
tensor(520.7783, device='cuda:0', grad_fn=<MeanBackward1>) 26000
tensor(320.9482, device='cuda:0', grad_fn=<MeanBackward1>) 26100
tensor(1063.8193, device='cuda:0', grad_fn=<MeanBackward1>) 26200
tensor(548.3753, device='cuda:0', grad_fn=<MeanBackward1>) 26300
tensor(977.2046, device='cuda:0', grad_fn=<MeanBackward1>) 26400
tensor(440.2888, device='cuda:0', grad_fn=<MeanBackward1>) 26500
tensor(669.4614, device='cuda:0', grad_fn=<MeanBackward1>) 26600
tensor(532.6562, device='cuda:0', grad_fn=<MeanBackward1>) 26700
tensor(262.6502, device='cuda:0', grad_fn=<MeanBackward1>) 26800
tensor(514.9600, device='cuda:0', grad_fn=<MeanBackward1>) 26900
tensor(2519.4397, device='cuda:0', grad_fn=<MeanBackward1>) 27000
tensor(538.5966, device='cuda:0', grad_fn=<MeanBackward1>) 27100
tensor(544.7995, device='cuda:0', grad_fn=<MeanBackward1>) 27200
tensor(2038.0820, device='cuda:0', grad_fn=<MeanBackward1>) 27300
tensor(426.1464, device='cuda:0', grad_fn=<MeanBackward1>) 27400
tensor(293.6915, device='cuda:0', grad_fn=<MeanBackward1>) 27500
tensor(962.4371, device='cuda:0', grad_fn=<MeanBackward1>) 27600
tensor(503.9465, device='cuda:0', grad_fn=<MeanBackward1>) 27700
tensor(467.0694, device='cuda:0', grad_fn=<MeanBackward1>) 27800
tensor(481.7819, device='cuda:0', grad_fn=<MeanBackward1>) 27900
tensor(737.3265, device='cuda:0', grad_fn=<MeanBackward1>) 28000
tensor(360.5049, device='cuda:0', grad_fn=<MeanBackward1>) 28100
tensor(1052.9572, device='cuda:0', grad_fn=<MeanBackward1>) 28200
tensor(418.5169, device='cuda:0', grad_fn=<MeanBackward1>) 28300
tensor(637.3560, device='cuda:0', grad_fn=<MeanBackward1>) 28400
tensor(474.0319, device='cuda:0', grad_fn=<MeanBackward1>) 28500
tensor(440.5359, device='cuda:0', grad_fn=<MeanBackward1>) 28600
tensor(308.1538, device='cuda:0', grad_fn=<MeanBackward1>) 28700
tensor(506.2214, device='cuda:0', grad_fn=<MeanBackward1>) 28800
tensor(1427.2622, device='cuda:0', grad_fn=<MeanBackward1>) 28900
tensor(499.2301, device='cuda:0', grad_fn=<MeanBackward1>) 29000
tensor(353.4157, device='cuda:0', grad_fn=<MeanBackward1>) 29100
tensor(772.1376, device='cuda:0', grad_fn=<MeanBackward1>) 29200
tensor(354.1187, device='cuda:0', grad_fn=<MeanBackward1>) 29300
tensor(313.0093, device='cuda:0', grad_fn=<MeanBackward1>) 29400
tensor(792.4790, device='cuda:0', grad_fn=<MeanBackward1>) 29500
tensor(217.3438, device='cuda:0', grad_fn=<MeanBackward1>) 29600
tensor(525.4464, device='cuda:0', grad_fn=<MeanBackward1>) 29700
tensor(647.3212, device='cuda:0', grad_fn=<MeanBackward1>) 29800
tensor(467.9089, device='cuda:0', grad_fn=<MeanBackward1>) 29900
tensor(459.8374, device='cuda:0', grad_fn=<MeanBackward1>) 30000
tensor(34873.3320, device='cuda:0', grad_fn=<MeanBackward1>) 30100
tensor(643.1530, device='cuda:0', grad_fn=<MeanBackward1>) 30200
tensor(731.8322, device='cuda:0', grad_fn=<MeanBackward1>) 30300
tensor(485.5760, device='cuda:0', grad_fn=<MeanBackward1>) 30400
tensor(533.4897, device='cuda:0', grad_fn=<MeanBackward1>) 30500
tensor(441.5316, device='cuda:0', grad_fn=<MeanBackward1>) 30600
tensor(382.3502, device='cuda:0', grad_fn=<MeanBackward1>) 30700
tensor(716.2838, device='cuda:0', grad_fn=<MeanBackward1>) 30800
tensor(321.8890, device='cuda:0', grad_fn=<MeanBackward1>) 30900
tensor(285.9477, device='cuda:0', grad_fn=<MeanBackward1>) 31000
tensor(2121.9771, device='cuda:0', grad_fn=<MeanBackward1>) 31100
tensor(523.2693, device='cuda:0', grad_fn=<MeanBackward1>) 31200
